Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
02/07/2024,55747,33251,88998,15422,5107,20529,19420,30318,33251,63569,2299,4900
02/08/2024,55537,33184,88721,15270,5116,20386,19372,30248,33184,63432,2301,4903
02/09/2024,55437,33215,88652,15177,5099,20276,19398,30291,33215,63506,2285,4870
02/10/2024,55336,33152,88488,15141,5093,20234,19357,30227,33152,63379,2286,4875
02/11/2024,55281,33156,88437,15111,5062,20173,19370,30253,33156,63409,2277,4855
02/12/2024,55212,33075,88287,15068,5087,20155,19322,30182,33075,63257,2286,4875
02/13/2024,55278,33063,88341,15117,5094,20211,19309,30167,33063,63230,2299,4900
02/14/2024,55196,33046,88242,15104,5075,20179,19286,30137,33046,63183,2289,4880
02/15/2024,55249,33010,88259,15152,5100,20252,19258,30111,33010,63121,2291,4886
02/16/2024,55109,32988,88097,15165,4992,20157,19243,30082,32988,63070,2283,4870
02/17/2024,55069,32935,88004,15175,4985,20160,19215,30048,32935,62983,2279,4861
02/18/2024,55013,32973,87986,15066,5008,20074,19244,30090,32973,63063,2273,4849
02/19/2024,54925,32932,87857,15026,5000,20026,19221,30045,32932,62977,2275,4854
02/20/2024,54937,32922,87859,14993,5027,20020,19220,30048,32922,62970,2283,4869
02/21/2024,54841,32890,87731,14963,5023,19986,19199,30016,32890,62906,2268,4839
02/22/2024,54798,32829,87627,14996,5009,20005,19165,29947,32829,62776,2272,4846
02/23/2024,54705,32802,87507,14968,5004,19972,19148,29911,32802,62713,2260,4822
02/24/2024,54703,32806,87509,14974,5003,19977,19164,29921,32806,62727,2252,4805
02/25/2024,54692,32802,87494,14970,5017,19987,19159,29925,32802,62727,2241,4780
02/26/2024,54591,32724,87315,14957,4987,19944,19106,29847,32724,62571,2250,4800
02/27/2024,54475,32684,87159,14843,5032,19875,19090,29807,32684,62491,2246,4793
02/28/2024,54391,32691,87082,14770,5049,19819,19096,29809,32691,62500,2231,4763
02/29/2024,54299,32635,86934,14721,5055,19776,19080,29786,32635,62421,2219,4737
03/01/2024,54195,32650,86845,14644,5047,19691,19086,29793,32650,62443,2208,4711
03/02/2024,54124,32623,86747,14659,5037,19696,19050,29738,32623,62361,2197,4690
03/03/2024,54141,32661,86802,14648,5023,19671,19070,29771,32661,62432,2201,4699
03/04/2024,54170,32635,86805,14713,5054,19767,19057,29744,32635,62379,2179,4659
03/05/2024,53974,32592,86566,14725,5063,19788,19033,29688,32592,62280,2098,4498
03/06/2024,53839,32521,86360,14676,5060,19736,18983,29623,32521,62144,2090,4480
03/07/2024,53709,32475,86184,14617,5043,19660,18961,29590,32475,62065,2080,4459
03/08/2024,53766,32504,86270,14666,5044,19710,18982,29613,32504,62117,2071,4443
03/08/2024,53766,32504,86270,14666,5044,19710,18982,29613,32504,62117,2071,4443
03/09/2024,53753,32399,86152,14741,5041,19782,18934,29532,32399,61931,2071,4439
03/10/2024,53763,32435,86198,14719,5052,19771,18941,29551,32435,61986,2072,4441
03/11/2024,53797,32425,86222,14732,5064,19796,18938,29544,32425,61969,2080,4457
03/12/2024,53723,32335,86058,14717,5071,19788,18882,29471,32335,61806,2084,4464
03/13/2024,53757,32347,86104,14799,5063,19862,18877,29461,32347,61808,2068,4434
03/14/2024,53750,32338,86088,14838,5068,19906,18863,29440,32338,61778,2054,4404
03/15/2024,53684,32375,86059,14826,5005,19831,18869,29447,32375,61822,2054,4406
03/16/2024,53629,32355,85984,14759,5024,19783,18865,29440,32355,61795,2054,4406
03/17/2024,53728,32394,86122,14840,5027,19867,18892,29469,32394,61863,2046,4392
03/18/2024,53618,32216,85834,14915,5040,19955,18760,29265,32216,61481,2050,4398
03/19/2024,53604,32166,85770,14923,5053,19976,18737,29234,32166,61400,2049,4394
03/20/2024,53603,32143,85746,14914,5063,19977,18735,29246,32143,61389,2044,4380
03/21/2024,53648,32154,85802,14942,5078,20020,18723,29231,32154,61385,2050,4397
03/22/2024,53534,32119,85653,14933,5050,19983,18700,29169,32119,61288,2043,4382
03/23/2024,53493,32056,85549,14907,5060,19967,18673,29138,32056,61194,2046,4388
03/24/2024,53498,32085,85583,14899,5069,19968,18691,29168,32085,61253,2032,4362
03/25/2024,53449,32022,85471,14919,5066,19985,18635,29087,32022,61109,2039,4377
03/26/2024,53393,31940,85333,14910,5072,19982,18605,29041,31940,60981,2036,4370
03/27/2024,53389,32016,85405,14854,5056,19910,18638,29105,32016,61121,2038,4374
03/28/2024,53426,32055,85481,14848,5058,19906,18670,29155,32055,61210,2034,4365
